type,key1,key2,value
put,key0000000000082,,value00000000082
put,key0000000000064,,value00000000064
put,key0000000000039,,value00000000039
put,key0000000000067,,value00000000067
put,key0000000000096,,value00000000096
put,key0000000000034,,value00000000034
put,key0000000000091,,value00000000091
put,key0000000000038,,value00000000038
put,key0000000000021,,value00000000021
put,key0000000000036,,value00000000036
put,key0000000000015,,value00000000015
put,key0000000000023,,value00000000023
put,key0000000000068,,value00000000068
put,key0000000000074,,value00000000074
put,key0000000000037,,value00000000037
put,key0000000000020,,value00000000020
put,key0000000000031,,value00000000031
put,key0000000000065,,value00000000065
put,key0000000000004,,value00000000004
put,key0000000000011,,value00000000011
put,key0000000000100,,value00000000100
put,key0000000000072,,value00000000072
put,key0000000000060,,value00000000060
put,key0000000000071,,value00000000071
put,key0000000000078,,value00000000078
put,key0000000000025,,value00000000025
put,key0000000000097,,value00000000097
put,key0000000000013,,value00000000013
put,key0000000000079,,value00000000079
put,key0000000000043,,value00000000043
put,key0000000000030,,value00000000030
put,key0000000000006,,value00000000006
put,key0000000000062,,value00000000062
put,key0000000000001,,value00000000001
put,key0000000000027,,value00000000027
put,key0000000000055,,value00000000055
put,key0000000000086,,value00000000086
put,key0000000000010,,value00000000010
put,key0000000000016,,value00000000016
put,key0000000000014,,value00000000014
put,key0000000000019,,value00000000019
put,key0000000000059,,value00000000059
put,key0000000000009,,value00000000009
put,key0000000000099,,value00000000099
put,key0000000000098,,value00000000098
put,key0000000000052,,value00000000052
put,key0000000000084,,value00000000084
put,key0000000000088,,value00000000088
put,key0000000000063,,value00000000063
put,key0000000000046,,value00000000046
put,key0000000000069,,value00000000069
put,key0000000000044,,value00000000044
put,key0000000000042,,value00000000042
put,key0000000000018,,value00000000018
put,key0000000000056,,value00000000056
put,key0000000000076,,value00000000076
put,key0000000000092,,value00000000092
put,key0000000000089,,value00000000089
put,key0000000000093,,value00000000093
put,key0000000000033,,value00000000033
put,key0000000000048,,value00000000048
put,key0000000000085,,value00000000085
put,key0000000000012,,value00000000012
put,key0000000000029,,value00000000029
put,key0000000000041,,value00000000041
put,key0000000000087,,value00000000087
put,key0000000000066,,value00000000066
put,key0000000000003,,value00000000003
put,key0000000000080,,value00000000080
put,key0000000000094,,value00000000094
put,key0000000000057,,value00000000057
put,key0000000000008,,value00000000008
put,key0000000000017,,value00000000017
put,key0000000000032,,value00000000032
put,key0000000000050,,value00000000050
put,key0000000000070,,value00000000070
put,key0000000000077,,value00000000077
put,key0000000000040,,value00000000040
put,key0000000000022,,value00000000022
put,key0000000000045,,value00000000045
put,key0000000000026,,value00000000026
put,key0000000000083,,value00000000083
put,key0000000000035,,value00000000035
put,key0000000000073,,value00000000073
put,key0000000000095,,value00000000095
put,key0000000000002,,value00000000002
put,key0000000000007,,value00000000007
put,key0000000000054,,value00000000054
put,key0000000000090,,value00000000090
put,key0000000000049,,value00000000049
put,key0000000000005,,value00000000005
put,key0000000000075,,value00000000075
put,key0000000000058,,value00000000058
put,key0000000000061,,value00000000061
put,key0000000000024,,value00000000024
put,key0000000000053,,value00000000053
put,key0000000000051,,value00000000051
put,key0000000000028,,value00000000028
put,key0000000000047,,value00000000047
put,key0000000000081,,value00000000081
get,key0000000000082,,
get,key0000000000064,,
get,key0000000000039,,
get,key0000000000067,,
get,key0000000000096,,
get,key0000000000034,,
get,key0000000000091,,
get,key0000000000038,,
get,key0000000000021,,
get,key0000000000036,,
get,key0000000000015,,
get,key0000000000023,,
get,key0000000000068,,
get,key0000000000074,,
get,key0000000000037,,
get,key0000000000020,,
get,key0000000000031,,
get,key0000000000065,,
get,key0000000000004,,
get,key0000000000011,,
get,key0000000000100,,
get,key0000000000072,,
get,key0000000000060,,
get,key0000000000071,,
get,key0000000000078,,
get,key0000000000025,,
get,key0000000000097,,
get,key0000000000013,,
get,key0000000000079,,
get,key0000000000043,,
get,key0000000000030,,
get,key0000000000006,,
get,key0000000000062,,
get,key0000000000001,,
get,key0000000000027,,
get,key0000000000055,,
get,key0000000000086,,
get,key0000000000010,,
get,key0000000000016,,
get,key0000000000014,,
get,key0000000000019,,
get,key0000000000059,,
get,key0000000000009,,
get,key0000000000099,,
get,key0000000000098,,
get,key0000000000052,,
get,key0000000000084,,
get,key0000000000088,,
get,key0000000000063,,
get,key0000000000046,,
get,key0000000000069,,
get,key0000000000044,,
get,key0000000000042,,
get,key0000000000018,,
get,key0000000000056,,
get,key0000000000076,,
get,key0000000000092,,
get,key0000000000089,,
get,key0000000000093,,
get,key0000000000033,,
get,key0000000000048,,
get,key0000000000085,,
get,key0000000000012,,
get,key0000000000029,,
get,key0000000000041,,
get,key0000000000087,,
get,key0000000000066,,
get,key0000000000003,,
get,key0000000000080,,
get,key0000000000094,,
get,key0000000000057,,
get,key0000000000008,,
get,key0000000000017,,
get,key0000000000032,,
get,key0000000000050,,
get,key0000000000070,,
get,key0000000000077,,
get,key0000000000040,,
get,key0000000000022,,
get,key0000000000045,,
get,key0000000000026,,
get,key0000000000083,,
get,key0000000000035,,
get,key0000000000073,,
get,key0000000000095,,
get,key0000000000002,,
get,key0000000000007,,
get,key0000000000054,,
get,key0000000000090,,
get,key0000000000049,,
get,key0000000000005,,
get,key0000000000075,,
get,key0000000000058,,
get,key0000000000061,,
get,key0000000000024,,
get,key0000000000053,,
get,key0000000000051,,
get,key0000000000028,,
get,key0000000000047,,
get,key0000000000081,,
